,Brand,Operating System,Ram Type,Ram Size,Disk Size,Disk Type,MRP
394,acer,Windows 10,DDR4,8,1000,0,47129
395,ASUS,Windows 11,DDR5,16,1000,1,199990
396,ASUS,Windows 11,DDR4,16,1000,1,187990
397,Lenovo,Windows 10,DDR4,16,1000,1,102990
398,ASUS,Windows 10,DDR4,8,1000,1,76990
399,ASUS,Windows 10,DDR4,4,1000,0,28990
400,ASUS,Windows 10,DDR4,4,1000,0,61248
401,Lenovo,Windows 11,DDR4,8,1000,0,36990
402,ASUS,Windows 11,DDR5,16,1000,1,105990
403,Lenovo,Windows 10,DDR4,4,1000,0,33499
404,ASUS,Windows 11,DDR5,32,2000,1,249989
405,ASUS,Windows 11,DDR5,16,1000,1,149989
406,Lenovo,Windows 10,DDR4,4,1000,0,27490
407,HP,Windows 11,DDR4,8,1000,0,28998
408,ASUS,Windows 11,DDR5,16,1000,1,149989
409,ASUS,Windows 11,DDR5,32,2000,1,331989
410,ASUS,Windows 11,DDR4,16,1000,1,130499
411,ASUS,Windows 11,DDR5,32,2000,1,361990
412,ASUS,Windows 11,DDR5,16,1000,1,211989
413,ASUS,Windows 10,DDR4,16,1000,1,110990
414,ASUS,Windows 11,DDR5,16,1000,1,119989
415,ASUS,Windows 10,DDR5,32,1000,1,224989
416,ASUS,Windows 10,DDR4,16,1000,1,154989
417,ASUS,Windows 10,DDR4,8,1000,0,44990
418,ASUS,Windows 10,DDR4,8,1000,0,31990
419,ASUS,Windows 11,DDR5,16,1000,1,179989
420,ASUS,Windows 11,DDR5,16,1000,1,155990
421,ASUS,Windows 11,DDR5,16,1000,1,171990
422,ASUS,Windows 10,DDR5,16,2000,1,233990
